date,data,time
114.459999,2016-5-20,02
113.550003,2016-5-20,03
109.790001,2016-5-20,04
117.809998,2016-5-20,05
110.970001,2016-5-20,06
121.120003,2016-5-20,07
123.050003,2016-5-20,08
124.809998,2016-5-20,09
107.290001,2016-5-20,10
92.9199982,2016-5-20,11
36.9000015,2016-5-20,12
40.4000015,2016-5-20,13
45.4099998,2016-5-20,14
46.1699982,2016-5-20,15
48.6599998,2016-5-20,16
61.7700005,2016-5-20,17
72.4700012,2016-5-20,18
56.5699997,2016-5-20,19
56.7000008,2016-5-20,20
54.8100014,2016-5-20,21
56.4599991,2016-5-20,22
54.6599998,2016-5-20,23
53.7299995,2016-5-21,00
53.3400002,2016-5-21,01
52.0600014,2016-5-21,02
54.7799988,2016-5-21,03
49.4900017,2016-5-21,04
49.4199982,2016-5-21,05
52.0699997,2016-5-21,06
42.2900009,2016-5-21,07
31.1399994,2016-5-21,08
39.0600014,2016-5-21,09
47.4000015,2016-5-21,10
47.6599998,2016-5-21,11
48.7400017,2016-5-21,12
52.5800018,2016-5-21,13
51.4000015,2016-5-21,14
52.3800011,2016-5-21,15
64.4899979,2016-5-21,16
61.0299988,2016-5-21,17
70.5400009,2016-5-21,18
67.9199982,2016-5-21,19
68.9700012,2016-5-21,20
69.4700012,2016-5-21,21
72.0,2016-5-21,22
65.6200027,2016-5-21,23
66.5299988,2016-5-22,00
53.8899994,2016-5-22,01
53.9700012,2016-5-22,02
57.3100014,2016-5-22,03
50.1199989,2016-5-22,04
48.5800018,2016-5-22,05
47.75,2016-5-22,06
51.8499985,2016-5-22,07
56.5699997,2016-5-22,08
54.5400009,2016-5-22,09
62.3300018,2016-5-22,10
61.5600014,2016-5-22,11
62.6500015,2016-5-22,12
55.7200012,2016-5-22,13
55.5699997,2016-5-22,14
61.7700005,2016-5-22,15
62.9099998,2016-5-22,16
59.7700005,2016-5-22,17
52.0,2016-5-22,18
53.5200005,2016-5-22,19
53.0099983,2016-5-22,20
54.5499992,2016-5-22,21
55.7099991,2016-5-22,22
56.2999992,2016-5-23,09
60.6800003,2016-5-23,10
62.7400017,2016-5-23,11
58.4199982,2016-5-23,12
69.9899979,2016-5-23,13
68.6600037,2016-5-23,14
66.5400009,2016-5-23,15
53.4500008,2016-5-23,16
48.0699997,2016-5-23,17
53.2999992,2016-5-23,18
48.6100006,2016-5-23,19
48.7999992,2016-5-23,20
55.7200012,2016-5-23,21
57.2299995,2016-5-23,22
66.0,2016-5-23,23
76.8700027,2016-5-24,00
69.5100021,2016-5-24,01
62.4199982,2016-5-24,02
61.3300018,2016-5-24,03
59.3699989,2016-5-24,04
64.5199966,2016-5-24,05
67.3499985,2016-5-24,06
75.3799973,2016-5-24,07
98.5500031,2016-5-24,08
64.8199997,2016-5-24,09
74.8000031,2016-5-24,10
67.4400024,2016-5-24,11
68.0599976,2016-5-24,12
71.5299988,2016-5-24,13
95.2099991,2016-5-24,14
51.1100006,2016-5-24,15
59.6300011,2016-5-24,16
56.9599991,2016-5-24,17
60.7900009,2016-5-24,18
68.4800034,2016-5-24,19
62.1800003,2016-5-24,20
73.1200027,2016-5-24,21
72.6699982,2016-5-24,22
59.7099991,2016-5-24,23
57.8499985,2016-5-25,00
60.5699997,2016-5-25,01
64.2900009,2016-5-25,02
67.3399963,2016-5-25,03
66.5899963,2016-5-25,04
64.5500031,2016-5-25,05
67.1900024,2016-5-25,06
68.8000031,2016-5-25,07
69.2699966,2016-5-25,08
67.9700012,2016-5-25,09
71.3000031,2016-5-25,10
73.25,2016-5-25,11
76.0299988,2016-5-25,12
76.0100021,2016-5-25,13
81.7699966,2016-5-25,14
88.9400024,2016-5-25,15
90.4899979,2016-5-25,16
93.7099991,2016-5-25,17
101.870003,2016-5-25,18
102.309998,2016-5-25,19
111.059998,2016-5-25,20
116.32,2016-5-25,21
115.910004,2016-5-25,22
115.809998,2016-5-25,23
119.010002,2016-5-26,00
98.0100021,2016-5-26,01
93.0699997,2016-5-26,02
94.8399963,2016-5-26,03
95.4599991,2016-5-26,04
93.8399963,2016-5-26,05
93.1900024,2016-5-26,06
95.9100037,2016-5-26,07
66.4199982,2016-5-26,08
75.3399963,2016-5-26,14
74.25,2016-5-26,15
65.9100037,2016-5-26,17
71.3399963,2016-5-26,18
70.5800018,2016-5-26,19
69.3600006,2016-5-26,20
71.0699997,2016-5-26,21
72.2900009,2016-5-26,22
71.5899963,2016-5-26,23
76.7600021,2016-5-27,00
69.5800018,2016-5-27,01
72.4700012,2016-5-27,02
73.0599976,2016-5-27,03
