date,data,time
5.32999992,2016-5-20,23
5.6500001,2016-5-21,00
5.40999985,2016-5-21,01
5.6500001,2016-5-21,02
5.19999981,2016-5-21,03
4.90999985,2016-5-21,04
5.48000002,2016-5-21,05
5.15999985,2016-5-21,06
5.28000021,2016-5-21,07
4.90999985,2016-5-21,08
4.63000011,2016-5-21,09
4.71000004,2016-5-21,10
4.21000004,2016-5-21,11
4.57000017,2016-5-21,12
4.78999996,2016-5-21,13
4.42999983,2016-5-21,14
5.5,2016-5-21,15
4.6500001,2016-5-21,16
5.38000011,2016-5-21,17
5.26000023,2016-5-21,18
4.11999989,2016-5-21,19
5.57000017,2016-5-21,20
5.51999998,2016-5-21,21
4.32000017,2016-5-21,22
4.53000021,2016-5-21,23
4.19000006,2016-5-22,00
4.21000004,2016-5-22,01
3.91000009,2016-5-22,02
3.82999992,2016-5-22,03
2.45000005,2016-5-22,04
3.88000011,2016-5-22,05
3.0,2016-5-22,06
4.09000015,2016-5-22,07
4.32999992,2016-5-22,08
4.96999979,2016-5-22,09
5.71000004,2016-5-22,10
4.55000019,2016-5-22,11
5.90999985,2016-5-22,12
5.28000021,2016-5-22,13
6.13999987,2016-5-22,14
6.26999998,2016-5-22,15
6.9000001,2016-5-22,16
6.46999979,2016-5-22,17
6.1500001,2016-5-22,18
4.86999989,2016-5-22,19
4.63000011,2016-5-22,20
3.9000001,2016-5-22,21
4.3499999,2016-5-22,22
4.46999979,2016-5-23,09
5.48000002,2016-5-23,10
6.19000006,2016-5-23,11
7.0999999,2016-5-23,12
6.90999985,2016-5-23,13
7.48999977,2016-5-23,14
7.98000002,2016-5-23,15
7.38999987,2016-5-23,16
6.73999977,2016-5-23,17
7.73000002,2016-5-23,18
7.84000015,2016-5-23,19
7.69000006,2016-5-23,20
4.86999989,2016-5-23,21
5.26000023,2016-5-23,22
5.8499999,2016-5-23,23
4.38000011,2016-5-24,00
5.17000008,2016-5-24,01
5.84000015,2016-5-24,02
5.0,2016-5-24,03
2.56999993,2016-5-24,04
3.38000011,2016-5-24,05
3.47000003,2016-5-24,06
4.80999994,2016-5-24,07
5.59000015,2016-5-24,08
5.25,2016-5-24,09
5.51999998,2016-5-24,10
5.42000008,2016-5-24,11
5.36999989,2016-5-24,12
5.61999989,2016-5-24,13
7.26999998,2016-5-24,14
7.21000004,2016-5-24,15
6.73999977,2016-5-24,16
6.11999989,2016-5-24,17
5.65999985,2016-5-24,18
4.90999985,2016-5-24,19
4.88999987,2016-5-24,20
3.67000008,2016-5-24,21
5.44000006,2016-5-24,22
4.30000019,2016-5-24,23
5.26000023,2016-5-25,00
4.5999999,2016-5-25,01
4.67000008,2016-5-25,02
4.73999977,2016-5-25,03
3.06999993,2016-5-25,04
4.19000006,2016-5-25,05
3.95000005,2016-5-25,06
4.21999979,2016-5-25,07
4.4000001,2016-5-25,08
3.5999999,2016-5-25,09
4.63999987,2016-5-25,10
4.46999979,2016-5-25,11
4.51999998,2016-5-25,12
5.67999983,2016-5-25,13
6.01000023,2016-5-25,14
6.8499999,2016-5-25,15
7.42999983,2016-5-25,16
7.17999983,2016-5-25,17
7.15999985,2016-5-25,18
5.63999987,2016-5-25,19
5.84000015,2016-5-25,20
5.32000017,2016-5-25,21
4.73000002,2016-5-25,22
4.23999977,2016-5-25,23
4.67999983,2016-5-26,00
2.51999998,2016-5-26,01
